,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
20522,subspecies,Passeriformes,Petroicidae,Australasian Robins,Leucophantes brachyurus brachyurus,
20523,subspecies,Passeriformes,Petroicidae,Australasian Robins,Leucophantes brachyurus albotaeniatus,
20524,subspecies,Passeriformes,Petroicidae,Australasian Robins,Leucophantes brachyurus dumasi,
20525,genus,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas,
20526,species,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas hypoleuca,Black-sided Robin
20527,subspecies,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas hypoleuca steini,
20528,subspecies,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas hypoleuca hypoleuca,
20529,subspecies,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas hypoleuca hermani,
20530,species,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas superciliosa,White-browed Robin
20531,species,Passeriformes,Petroicidae,Australasian Robins,Poecilodryas cerviniventris,Buff-sided Robin
20532,genus,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria,
20533,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria placens,Banded Yellow Robin
20534,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria australis,Eastern Yellow Robin
20535,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria australis chrysorrhos,
20536,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria australis australis,
20537,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria griseogularis,Western Yellow Robin
20538,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria griseogularis griseogularis,
20539,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria griseogularis rosinae,
20540,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria georgiana,White-breasted Robin
20541,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria capito,Pale-yellow Robin
20542,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria capito nana,
20543,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria capito capito,
20544,species,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops,White-faced Robin
20545,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops leucops,
20546,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops mayri,
20547,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops heurni,
20548,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops nigroorbitalis,
20549,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops nigriceps,
20550,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops melanogenys,
20551,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops wahgiensis,
20552,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops albifacies,
20553,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops auricularis,
20554,subspecies,Passeriformes,Petroicidae,Australasian Robins,Eopsaltria leucops albigularis,
20555,genus,Passeriformes,Petroicidae,Australasian Robins,Melanodryas,
20556,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas vittata,Dusky Robin
20557,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas vittata vittata,
20558,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas vittata kingi,
20559,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cucullata,Hooded Robin
20560,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cucullata melvillensis,
20561,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cucullata picata,
20562,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cucullata cucullata,
20563,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cucullata westralensis,
20564,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas bimaculata,White-rumped Robin
20565,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas bimaculata bimaculata,
20566,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas bimaculata vicaria,
20567,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas pulverulenta,Mangrove Robin
20568,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas pulverulenta pulverulenta,
20569,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas pulverulenta leucura,
20570,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas pulverulenta alligator,
20571,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas pulverulenta cinereiceps,
20572,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas sigillata,White-winged Robin
20573,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas sigillata saruwagedi,
20574,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas sigillata quadrimaculata,
20575,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas sigillata sigillata,
20576,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cyanus,Slaty Robin
20577,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cyanus cyanus,
20578,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cyanus atricapilla,
20579,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cyanus subcyanea,
20580,species,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cryptoleuca,Smoky Robin
20581,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cryptoleuca cryptoleuca,
20582,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cryptoleuca albidior,
20583,subspecies,Passeriformes,Petroicidae,Australasian Robins,Melanodryas cryptoleuca maxima,
20584,family,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostiridae,
20585,genus,Passeriformes,Stenostiridae,Fairy Flycatchers,Chelidorhynx,
20586,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Chelidorhynx hypoxanthus,Yellow-bellied Fantail
20587,genus,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostira,
20588,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostira scita,Fairy Flycatcher
20589,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostira scita scita,
20590,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostira scita saturatior,
20591,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Stenostira scita rudebecki,
20592,genus,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa,
20593,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis,Grey-headed Canary-flycatcher
20594,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis calochrysea,
20595,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis antioxantha,
20596,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis ceylonensis,
20597,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis sejuncta,
20598,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa ceylonensis connectens,
20599,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea,Citrine Canary-flycatcher
20600,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea septentrionalis,
20601,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea zimmeri,
20602,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea panayensis,
20603,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea mayri,
20604,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Culicicapa helianthea helianthea,
20605,genus,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia,
20606,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia longicauda,African Blue Flycatcher
20607,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia longicauda longicauda,
20608,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia longicauda teresita,
20609,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albicauda,White-tailed Blue Flycatcher
20610,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia nigromitrata,Dusky Crested Flycatcher
20611,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia nigromitrata colstoni,
20612,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia nigromitrata nigromitrata,
20613,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albiventris,White-bellied Crested Flycatcher
20614,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albiventris albiventris,
20615,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albiventris toroensis,
20616,species,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albonotata,White-tailed Crested Flycatcher
20617,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albonotata albonotata,
20618,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albonotata swynnertoni,
20619,subspecies,Passeriformes,Stenostiridae,Fairy Flycatchers,Elminia albonotata subcaerulea,
20620,family,Passeriformes,Hyliotidae,Hyliotas,Hyliotidae,
20621,genus,Passeriformes,Hyliotidae,Hyliotas,Hyliota,
20622,species,Passeriformes,Hyliotidae,Hyliotas,Hyliota flavigaster,Yellow-bellied Hyliota
20623,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota flavigaster flavigaster,
20624,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota flavigaster barbozae,
20625,species,Passeriformes,Hyliotidae,Hyliotas,Hyliota australis,Southern Hyliota
20626,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota australis slatini,
20627,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota australis inornata,
20628,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota australis australis,
20629,species,Passeriformes,Hyliotidae,Hyliotas,Hyliota usambara,Usambara Hyliota
20630,species,Passeriformes,Hyliotidae,Hyliotas,Hyliota violacea,Violet-backed Hyliota
20631,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota violacea nehrkorni,
20632,subspecies,Passeriformes,Hyliotidae,Hyliotas,Hyliota violacea violacea,
20633,family,Passeriformes,Remizidae,Penduline Tits,Remizidae,
20634,genus,Passeriformes,Remizidae,Penduline Tits,Auriparus,
20635,species,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps,Verdin
20636,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps acaciarum,
20637,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps ornatus,
20638,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps flaviceps,
20639,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps lamprocephalus,
20640,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps sinaloae,
20641,subspecies,Passeriformes,Remizidae,Penduline Tits,Auriparus flaviceps hidalgensis,
20642,genus,Passeriformes,Remizidae,Penduline Tits,Remiz,
20643,species,Passeriformes,Remizidae,Penduline Tits,Remiz consobrinus,Chinese Penduline Tit
20644,species,Passeriformes,Remizidae,Penduline Tits,Remiz coronatus,White-crowned Penduline Tit
20645,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz coronatus coronatus,
20646,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz coronatus stoliczkae,
20647,species,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus,Eurasian Penduline Tit
20648,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus pendulinus,
20649,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus menzbieri,
20650,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus caspius,
20651,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus jaxarticus,
20652,species,Passeriformes,Remizidae,Penduline Tits,Remiz macronyx,Black-headed Penduline Tit
20653,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz macronyx macronyx,
20654,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz macronyx neglectus,
20655,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz macronyx nigricans,
20656,subspecies,Passeriformes,Remizidae,Penduline Tits,Remiz macronyx ssaposhnikowi,
20657,genus,Passeriformes,Remizidae,Penduline Tits,Anthoscopus,
20658,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus punctifrons,Sennar Penduline Tit
20659,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus musculus,Mouse-colored Penduline Tit
20660,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus parvulus,Yellow Penduline Tit
20661,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus flavifrons,Forest Penduline Tit
20662,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus flavifrons waldronae,
20663,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus flavifrons flavifrons,
20664,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus flavifrons ruthae,
20665,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli,Grey Penduline Tit
20666,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli roccatii,
20667,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli pallescens,
20668,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli ansorgei,
20669,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli rhodesiae,
20670,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli robertsi,
20671,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli caroli,
20672,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli winterbottomi,
20673,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli rankinei,
20674,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli hellmayri,
20675,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli sylviella,
20676,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus caroli sharpei,
20677,species,Passeriformes,Remizidae,Penduline Tits,Anthoscopus minutus,Cape Penduline Tit
20678,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus minutus damarensis,
20679,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus minutus gigi,
20680,subspecies,Passeriformes,Remizidae,Penduline Tits,Anthoscopus minutus minutus,
20681,family,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Paridae,
20682,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cephalopyrus,
20683,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cephalopyrus flammiceps,Fire-capped Tit
20684,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cephalopyrus flammiceps flammiceps,
20685,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cephalopyrus flammiceps olivaceus,
20686,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Sylviparus,
20687,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Sylviparus modestus,Yellow-browed Tit
20688,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Sylviparus modestus simlaensis,
20689,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Sylviparus modestus modestus,
20690,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Sylviparus modestus klossi,
20691,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora,
20692,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora sultanea,Sultan Tit
20693,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora sultanea sultanea,
20694,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora sultanea flavocristata,
20695,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora sultanea seorsa,
20696,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melanochlora sultanea gayeti,
20697,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes,
20698,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae,African Blue Tit
20699,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae palmensis,
20700,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae cyrenaicae,
20701,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae ultramarinus,
20702,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae degener,
20703,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae ombriosus,
20704,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae teneriffae,
20705,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes teneriffae hedwigae,
20706,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus,Azure Tit
20707,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus cyanus,
20708,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus hyperrhiphaeus,
20709,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus yenisseensis,
20710,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus tianschanicus,
20711,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus koktalensis,
20712,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus carruthersi,
20713,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus flavipectus,
20714,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus berezowskii,
20715,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus,Eurasian Blue Tit
20716,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus obscurus,
20717,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus caeruleus,
20718,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus balearicus,
20719,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus ogliastrae,
20720,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus calamensis,
20721,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus orientalis,
20722,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus satunini,
20723,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus raddei,
20724,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus persicus,
20725,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Pseudopodoces,
20726,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Pseudopodoces humilis,Ground Tit
20727,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus,
20728,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus monticolus,Green-backed Tit
20729,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus monticolus monticolus,
20730,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus monticolus yunnanensis,
20731,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus monticolus legendrei,
20732,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus monticolus insperatus,
20733,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major,Great Tit
20734,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major newtoni,
20735,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major major,
20736,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major kapustini,
20737,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major corsus,
20738,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major mallorcae,
20739,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major excelsus,
20740,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major ecki,
20741,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major aphrodite,
20742,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major niethammeri,
20743,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major terraesanctae,
20744,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major karelini,
20745,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major blanfordi,
20746,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major bokharensis,
20747,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major turkestanicus,
20748,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major ferghanensis,
20749,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major intermedius,
20750,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus,Cinereous Tit
20751,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus decolorans,
20752,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus ziaratensis,
20753,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus caschmirensis,
20754,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus planorum,
20755,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus vauriei,
20756,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus stupae,
20757,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus mahrattarum,
20758,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus templorum,
20759,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus hainanus,
20760,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus ambiguus,
20761,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus sarawacensis,
20762,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus cinereus,
20763,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus minor,
20764,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus dageletensis,
20765,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus amamiensis,
20766,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus okinawae,
20767,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus nigriloris,
20768,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus tibetanus,
20769,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus commixtus,
20770,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus cinereus nubicolus,
20771,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus,
20772,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus nuchalis,White-naped Tit
20773,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus holsti,Yellow Tit
20774,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus xanthogenys,Himalayan Black-lored Tit
20775,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus aplonotus,Indian Black-lored Tit
20776,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus aplonotus aplonotus,
20777,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus aplonotus travancoreensis,
20778,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus spilonotus,Yellow-cheeked Tit
20779,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus spilonotus spilonotus,
20780,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus spilonotus subviridis,
20781,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus spilonotus rex,
20782,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Machlolophus spilonotus basileus,
20783,genus,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus,
20784,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus guineensis,White-shouldered Black Tit
20785,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus leucomelas,White-winged Black Tit
20786,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus leucomelas leucomelas,
20787,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus leucomelas insignis,
20788,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris,Rufous-bellied Tit
20789,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris rufiventris,
20790,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris masukuensis,
20791,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris diligens,
20792,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris pallidiventris,
20793,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus rufiventris stenotopicus,
20794,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus albiventris,White-bellied Tit
20795,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus niger,Southern Black Tit
20796,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus niger ravidus,
20797,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus niger xanthostomus,
20798,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus niger niger,
20799,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus carpi,Carp's Tit
20800,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus funereus,Dusky Tit
20801,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus funereus funereus,
20802,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus funereus gabela,
20803,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus griseiventris,Miombo Tit
20804,species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus fasciiventer,Stripe-breasted Tit
20805,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus fasciiventer fasciiventer,
20806,subspecies,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Melaniparus fasciiventer tanganjicae,
