,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
112,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii mendozae,
113,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii doeringi,
114,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris,Curve-billed Tinamou
115,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris curvirostris,
116,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris peruviana,
117,genus,Tinamiformes,Tinamidae,Tinamous,Nothocercus,
118,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus julius,Tawny-breasted Tinamou
119,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei,Highland Tinamou
120,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei frantzii,
121,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei bonapartei,
122,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei intercedens,
123,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei discrepans,
124,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei plumbeiceps,
125,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus,Hooded Tinamou
126,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus cadwaladeri,
127,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus nigrocapillus,
128,genus,Tinamiformes,Tinamidae,Tinamous,Tinamus,
129,species,Tinamiformes,Tinamidae,Tinamous,Tinamus tao,Grey Tinamou
130,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao larensis,
131,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao septentrionalis,
132,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao tao,
133,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao kleei,
134,species,Tinamiformes,Tinamidae,Tinamous,Tinamus solitarius,Solitary Tinamou
135,species,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi,Black Tinamou
136,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi hershkovitzi,
137,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi osgoodi,
138,species,Tinamiformes,Tinamidae,Tinamous,Tinamus major,Great Tinamou
139,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major robustus,
140,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major percautus,
141,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major fuscipennis,
142,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major brunneiventris,
143,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major castaneiceps,
144,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major saturatus,
145,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major zuliensis,
146,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major latifrons,
147,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major major,
148,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major serratus,
149,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major olivascens,
150,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major peruvianus,
151,species,Tinamiformes,Tinamidae,Tinamous,Tinamus guttatus,White-throated Tinamou
152,genus,Tinamiformes,Tinamidae,Tinamous,Crypturellus,
153,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinereus,Cinereous Tinamou
154,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus berlepschi,Berlepsch's Tinamou
155,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui,Little Tinamou
156,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui meserythrus,
157,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui modestus,
158,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui capnodes,
159,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui poliocephalus,
